OneGoal ID,Selectivity,College/University,Recommended Institution,Grad Rate Quartile,Website,Opportunity Programs,City,State,Region,Sector,Locale,Size,% Pell Grant,% African American,% Hispanic,% In State,HBCU,Hispanic Serving Institution,On Campus Housing?,6 Year Grad Rate (Overall),6 Year Grad Rate (Minority),Grad Rate Quartile,Net Price: 0-30,Median Debt of Graduates,Median Salary After Attending,Percent Earning Over HS Grad,CUNY/SUNY
13294,Two-Year College,St. Joseph's College of Nursing,1,Q1 (TOP 1 - 25%),www.sjhcon.edu,,Syracuse,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",0,5,2,100,,,Yes,100,,Q1 (TOP 1 - 25%),"$12,817 ","$14,751 ",,,
15225,Two-Year College,CUNY Guttman Community College,1,Q1 (TOP 1 - 25%),www.guttman.cuny.edu/,ASAP-for-all Model,New York,NY,New York,Public,City,"Very Small (<1,000)",76,23,61,100,,Yes,No,49,,Q1 (TOP 1 - 25%),"$4,794 ",,,,CUNY
10465,Two-Year College,CUNY College of Staten Island (2-Year),1,Q1 (TOP 1 - 25%),www.csi.cuny.edu,"ASAP
SEEK",Staten Island,NY,New York,Public,City,"Medium (5,000-15,000)",58,15,25,99,,Yes,Yes,47,44,Q1 (TOP 1 - 25%),"$6,864 ","$16,872 ","$40,600 ",75,CUNY
13285,Two-Year College,Crouse Hospital School of Nursing,,Q1 (TOP 1 - 25%),www.crouse.org/nursing,,Syracuse,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",24,3,1,100,,,Yes,50,,Q1 (TOP 1 - 25%),"$9,250 ","$17,500 ","$33,800 ",65,
13290,Two-Year College,Island Drafting and Technical Institute,,Q1 (TOP 1 - 25%),www.idti.edu,,Amityville,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",66,10,24,100,,,No,82,,Q1 (TOP 1 - 25%),"$17,655 ","$12,000 ","$88,700 ",93,
13302,Two-Year College,Ellis Hospital School of Nursing,,Q1 (TOP 1 - 25%),www.ellisbelangerschoolofnursing.org,,Schenectady,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",0,10,5,100,,,No,100,,Q1 (TOP 1 - 25%),,"$14,650 ",,,
13313,Two-Year College,New York Career Institute,,Q1 (TOP 1 - 25%),www.nyci.edu,,New York,NY,New York,Private for-profit,City,"Very Small (<1,000)",75,26,21,82,,,No,42,,Q1 (TOP 1 - 25%),"$14,733 ","$13,259 ","$55,900 ",92,
14216,Two-Year College,St Paul's School of Nursing-Staten Island,,Q1 (TOP 1 - 25%),www.stpaulsschoolofnursing.edu/,,Staten Island,NY,New York,Private for-profit,City,"Very Small (<1,000)",85,19,6,100,,,No,51,,Q1 (TOP 1 - 25%),"$20,218 ","$20,000 ",,,
13306,Two-Year College,Mandl School,,Q1 (TOP 1 - 25%),www.mandl.edu,,New York,NY,New York,Private for-profit,City,"Very Small (<1,000)",89,46,42,99,,,No,31,80,Q1 (TOP 1 - 25%),"$17,636 ","$13,208 ","$18,000 ",33,
13299,Two-Year College,Saint Paul's School of Nursing,,Q1 (TOP 1 - 25%),https://www.stpaulsschoolofnursing.edu,,Rego Park,NY,New York,Private for-profit,City,"Very Small (<1,000)",92,32,19,100,,,No,41,76,Q1 (TOP 1 - 25%),"$26,187 ","$20,000 ","$56,800 ",89,
13329,Two-Year College,Wood Tobe-Coburn School,,Q1 (TOP 1 - 25%),woodtobecoburn.edu,,New York,NY,New York,Private for-profit,City,"Very Small (<1,000)",88,31,58,91,,,No,80,76,Q1 (TOP 1 - 25%),"$11,787 ","$12,000 ","$56,900 ",84,
13259,Two-Year College,American Academy of Dramatic Arts,,Q1 (TOP 1 - 25%),www.aada.edu,,New York,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",53,12,9,10,,,Yes,67,70,Q1 (TOP 1 - 25%),"$39,372 ","$13,240 ",,,
14211,Two-Year College,SBI Campus-An Affiliate of Sanford-Brown,,Q1 (TOP 1 - 25%),www.sbmelville.edu,,Melville,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",63,3,14,91,,,No,59,65,Q1 (TOP 1 - 25%),"$10,137 ","$9,783 ","$68,400 ",90,
13281,Two-Year College,"ITT Technical Institute (Liverpool, N.Y.)",,Q1 (TOP 1 - 25%),www.itt-tech.edu,,Liverpool,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",85,23,3,100,,,No,38,42,Q1 (TOP 1 - 25%),"$19,716 ","$25,834 ","$19,700 ",34,
14217,Two-Year College,Utica School of Commerce,,Q1 (TOP 1 - 25%),www.uscny.edu,,Utica,NY,New York,Private for-profit,City,"Very Small (<1,000)",97,7,3,100,,,No,36,39,Q1 (TOP 1 - 25%),"$13,230 ","$18,900 ","$14,600 ",30,
13292,Two-Year College,Long Island Business Institute at Commack,,Q1 (TOP 1 - 25%),www.libi.edu,,Flushing,NY,New York,Private for-profit,City,"Very Small (<1,000)",98,13,23,96,,,No,36,38,Q1 (TOP 1 - 25%),"$11,163 ","$17,199 ","$15,000 ",27,
13315,Two-Year College,Art Institute of New York City,,Q1 (TOP 1 - 25%),www.artinstitutes.edu/new-york,,New York,NY,New York,Private for-profit,City,"Very Small (<1,000)",0,30,38,69,,,No,27,35,Q1 (TOP 1 - 25%),"$24,615 ","$23,792 ","$35,400 ",66,
13260,Two-Year College,American Academy McAllister Institute of Funeral Service,,Q2 (TOP 25 - 50%),www.funeraleducation.org,,New York,NY,New York,Private not-for-profit,City,"Very Small (<1,000)",78,26,13,48,,,No,19,,Q2 (TOP 25 - 50%),"$13,430 ","$13,600 ","$15,000 ",22,
13279,Two-Year College,"ITT Technical Institute (Albany, N.Y.)",,Q2 (TOP 25 - 50%),www.itt-tech.edu,,Albany,NY,New York,Private for-profit,Suburb,"Very Small (<1,000)",74,23,8,100,,,No,22,,Q2 (TOP 25 - 50%),"$22,081 ","$25,834 ","$16,200 ",27,
